evID,magnitude,ev_lat,ev_lon,ev_depth,strike,dip,rake,src_duration,ns,st_lat,st_lon,azimuth,rhypo,waveform_path,Z_pga,Z_pgv,Z_pgd,E_pga,E_pgv,E_pgd,N_pga,N_pgv,N_pgd,H_pga,H_pgv,H_pgd
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S0,0.951,1.181,225.005,157.234,synthetic_waveforms/Synthetic_4.mseed,-0.685,-0.166,-0.104,-1.031,-0.345,-0.493,-1.083,-0.361,-0.533,-0.945,-0.202,-0.378
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S1,1.173,1.181,232.129,140.843,synthetic_waveforms/Synthetic_4.mseed,-0.720,-0.183,-0.140,-1.065,-0.321,-0.418,-1.113,-0.416,-0.401,-0.939,-0.218,-0.302
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S2,1.396,1.181,240.950,127.169,synthetic_waveforms/Synthetic_4.mseed,-0.799,-0.267,-0.190,-1.126,-0.346,-0.367,-1.070,-0.296,-0.257,-1.027,-0.291,-0.227
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S3,1.618,1.181,251.573,117.168,synthetic_waveforms/Synthetic_4.mseed,-0.849,-0.356,-0.295,-1.031,-0.374,-0.468,-1.073,-0.350,-0.175,-0.981,-0.350,-0.161
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S4,1.840,1.181,263.673,111.829,synthetic_waveforms/Synthetic_4.mseed,-1.006,-0.555,-0.511,-1.143,-0.560,-0.720,-1.115,-0.305,-0.167,-0.991,-0.302,-0.166
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S5,2.062,1.181,276.361,111.821,synthetic_waveforms/Synthetic_4.mseed,-0.959,-0.549,-0.733,-1.197,-0.593,-0.633,-1.137,-0.379,-0.258,-1.032,-0.349,-0.255
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S6,2.284,1.181,288.465,117.147,synthetic_waveforms/Synthetic_4.mseed,-0.851,-0.320,-0.544,-1.075,-0.553,-0.582,-1.269,-0.530,-0.494,-1.060,-0.402,-0.469
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S7,2.507,1.181,299.092,127.137,synthetic_waveforms/Synthetic_4.mseed,-0.796,-0.234,-0.446,-1.110,-0.521,-0.653,-1.150,-0.536,-0.830,-0.980,-0.383,-0.584
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S8,2.729,1.181,307.918,140.803,synthetic_waveforms/Synthetic_4.mseed,-0.756,-0.170,-0.394,-1.055,-0.403,-0.637,-1.151,-0.575,-0.702,-0.952,-0.354,-0.535
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S9,2.951,1.181,315.047,157.188,synthetic_waveforms/Synthetic_4.mseed,-0.726,-0.154,-0.390,-1.061,-0.354,-0.464,-1.005,-0.504,-0.589,-0.923,-0.315,-0.456
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S10,0.951,1.403,217.877,140.859,synthetic_waveforms/Synthetic_4.mseed,-0.626,-0.075,-0.070,-1.085,-0.352,-0.473,-0.935,-0.234,-0.392,-0.847,-0.135,-0.279
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S11,1.173,1.403,225.001,122.294,synthetic_waveforms/Synthetic_4.mseed,-0.598,-0.064,-0.061,-1.016,-0.279,-0.345,-0.985,-0.316,-0.501,-0.855,-0.147,-0.261
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S12,1.396,1.403,234.463,106.262,synthetic_waveforms/Synthetic_4.mseed,-0.649,-0.106,-0.093,-1.018,-0.311,-0.311,-1.062,-0.423,-0.363,-0.936,-0.210,-0.278
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S13,1.618,1.403,246.804,94.066,synthetic_waveforms/Synthetic_4.mseed,-0.745,-0.187,-0.231,-1.014,-0.306,-0.327,-1.040,-0.418,-0.217,-0.940,-0.257,-0.199
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S14,1.840,1.403,261.878,87.329,synthetic_waveforms/Synthetic_4.mseed,-0.931,-0.424,-0.490,-1.064,-0.494,-0.563,-1.046,-0.311,-0.174,-1.032,-0.295,-0.174
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S15,2.062,1.403,278.149,87.323,synthetic_waveforms/Synthetic_4.mseed,-0.862,-0.399,-0.573,-1.084,-0.426,-0.578,-1.157,-0.420,-0.312,-1.064,-0.420,-0.278
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S16,2.284,1.403,293.227,94.050,synthetic_waveforms/Synthetic_4.mseed,-0.765,-0.216,-0.379,-0.998,-0.348,-0.471,-1.306,-0.676,-0.679,-0.978,-0.314,-0.467
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S17,2.507,1.403,305.573,106.239,synthetic_waveforms/Synthetic_4.mseed,-0.693,-0.133,-0.340,-0.957,-0.340,-0.577,-1.111,-0.521,-0.631,-0.875,-0.262,-0.454
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S18,2.729,1.403,315.039,122.266,synthetic_waveforms/Synthetic_4.mseed,-0.683,-0.108,-0.329,-0.957,-0.286,-0.660,-0.990,-0.471,-0.551,-0.868,-0.248,-0.472
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S19,2.951,1.403,322.166,140.827,synthetic_waveforms/Synthetic_4.mseed,-0.682,-0.098,-0.308,-1.033,-0.214,-0.439,-0.959,-0.431,-0.526,-0.868,-0.194,-0.357
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S20,0.951,1.625,209.054,127.201,synthetic_waveforms/Synthetic_4.mseed,-0.574,-0.003,-0.031,-1.184,-0.449,-0.572,-0.849,-0.150,-0.256,-0.809,-0.101,-0.211
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S21,1.173,1.625,215.536,106.279,synthetic_waveforms/Synthetic_4.mseed,-0.533,0.031,-0.005,-1.025,-0.335,-0.405,-0.921,-0.187,-0.278,-0.816,-0.098,-0.182
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S22,1.396,1.625,224.996,87.357,synthetic_waveforms/Synthetic_4.mseed,-0.538,0.014,-0.067,-0.858,-0.200,-0.224,-0.953,-0.232,-0.283,-0.750,-0.065,-0.102
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S23,1.618,1.625,239.033,72.031,synthetic_waveforms/Synthetic_4.mseed,-0.578,-0.040,-0.081,-0.871,-0.258,-0.255,-0.988,-0.339,-0.215,-0.813,-0.168,-0.197
Synthetic_4,6.146,1.951,2.181,1.500,324.224,34.177,128.024,3.752,PR.S24,1.840,1.625,258.693,62.983,synthetic_waveforms/Synthetic_4.mseed,-0.789,-0.259,-0.306,-0.991,-0.468,-0.451,-0.894,-0.159,-0.053,-0.894,-0.143,-0.053
